# 温度测量数据文件
time	T0	T1	T2	T3
0.0	25	25	25	25
0.5	171.241	31.4759	25.2142	25.0062
1	260.465	51.4205	26.6587	25.0766
1.5	305.125	78.3177	30.4704	25.3708
2	332.163	105.503	36.9156	26.1003
2.5	350.588	130.154	45.4644	27.4216
3	364.128	151.684	55.315	29.3754
3.5	374.585	170.317	65.7927	31.895
4	382.965	186.473	76.4203	34.8504
4.5	389.872	200.564	86.8561	38.0922
5	395.688	212.943	96.887	41.4807
5.5	400.668	223.927	106.39	44.9011
6	404.99	233.729	115.301	48.2667
6.5	408.782	242.517	123.598	51.5171
7	412.136	250.426	131.283	54.617
7.5	415.124	257.566	138.374	57.5467
8	417.801	264.036	144.897	60.2936
8.5	420.209	269.909	150.886	62.8535
9	422.383	275.249	156.375	65.228
9.5	424.352	280.11	161.4	67.4226
10	426.137	284.539	165.997	69.4453
10.5	427.76	288.577	170.199	71.3056
11	429.237	292.261	174.038	73.0137
11.5	430.582	295.622	177.544	74.58
12	431.807	298.691	180.745	76.0149
12.5	432.926	301.492	183.668	77.3284
13	433.946	304.051	186.337	78.5301
13.5	434.877	306.388	188.772	79.629
14	435.728	308.523	190.995	80.6335
14.5	436.504	310.473	193.024	81.5515
15	437.213	312.254	194.876	82.3903
15.5	437.861	313.881	196.566	83.1567
16	438.453	315.367	198.11	83.8567
16.5	438.994	316.725	199.518	84.4962
17	439.487	317.966	200.804	85.0802
17.5	439.939	319.099	201.978	85.6137
18	440.351	320.135	203.05	86.1008
18.5	440.727	321.081	204.03	86.5457
19	441.071	321.945	204.924	86.9521
19.5	441.386	322.734	205.741	87.3232
20	441.673	323.455	206.487	87.6622
20.5	441.935	324.114	207.168	87.9717
21	442.175	324.715	207.791	88.2544
21.5	442.393	325.265	208.359	88.5126
22	442.593	325.767	208.878	88.7484
22.5	442.776	326.226	209.352	88.9637
23	442.943	326.644	209.785	89.1604
23.5	443.095	327.027	210.181	89.34
24	443.234	327.377	210.542	89.504
24.5	443.362	327.696	210.872	89.6539
25	443.478	327.988	211.174	89.7907
25.5	443.584	328.254	211.449	89.9157
26	443.681	328.497	211.7	90.0299
26.5	443.769	328.72	211.93	90.1341
27	443.85	328.923	212.139	90.2294
27.5	443.924	329.108	212.331	90.3163
28	443.991	329.277	212.506	90.3958
28.5	444.053	329.432	212.666	90.4683
29	444.109	329.574	212.812	90.5346
29.5	444.161	329.703	212.945	90.5951
30	444.208	329.821	213.067	90.6504
30.5	444.251	329.928	213.178	90.7009
31	444.29	330.027	213.279	90.747
31.5	444.326	330.116	213.372	90.7892
32	444.358	330.199	213.457	90.8276
32.5	444.388	330.273	213.534	90.8628
33	444.416	330.342	213.605	90.8949
33.5	444.44	330.404	213.67	90.9242
34	444.463	330.462	213.729	90.951
34.5	444.484	330.514	213.782	90.9754
35	444.503	330.561	213.832	90.9977
35.5	444.52	330.605	213.877	91.0182
36	444.536	330.645	213.918	91.0368
36.5	444.551	330.681	213.955	91.0538
37	444.564	330.714	213.989	91.0694
37.5	444.576	330.745	214.021	91.0836
38	444.587	330.772	214.049	91.0965
38.5	444.597	330.797	214.075	91.1084
39	444.606	330.821	214.099	91.1192
39.5	444.615	330.842	214.121	91.1291
40	444.622	330.861	214.141	91.1381
40.5	444.629	330.878	214.159	91.1463
41	444.636	330.895	214.176	91.1539
41.5	444.642	330.909	214.191	91.1608
42	444.647	330.923	214.204	91.167
42.5	444.652	330.935	214.217	91.1728
43	444.656	330.946	214.229	91.178
43.5	444.66	330.956	214.239	91.1828
44	444.664	330.966	214.249	91.1872
44.5	444.667	330.974	214.258	91.1912
45	444.67	330.982	214.266	91.1948
45.5	444.673	330.989	214.273	91.1981
46	444.676	330.995	214.28	91.2012
46.5	444.678	331.001	214.286	91.204
47	444.68	331.007	214.291	91.2065
47.5	444.682	331.012	214.297	91.2088
48	444.684	331.016	214.301	91.2109
48.5	444.686	331.02	214.305	91.2129
49	444.687	331.024	214.309	91.2146
49.5	444.689	331.028	214.313	91.2163
50	444.69	331.031	214.316	91.2177
50.5	444.691	331.034	214.319	91.2191
51	444.692	331.036	214.322	91.2203
51.5	444.693	331.039	214.324	91.2214
52	444.694	331.041	214.327	91.2225
52.5	444.695	331.043	214.329	91.2234
53	444.695	331.045	214.331	91.2243
53.5	444.696	331.046	214.332	91.225
54	444.697	331.048	214.334	91.2257
54.5	444.697	331.049	214.335	91.2264
55	444.698	331.051	214.337	91.227
55.5	444.698	331.052	214.338	91.2275
56	444.699	331.053	214.339	91.228
56.5	444.699	331.054	214.34	91.2285
57	444.699	331.055	214.341	91.2289
57.5	444.7	331.055	214.342	91.2293
58	444.7	331.056	214.342	91.2296
58.5	444.7	331.057	214.343	91.2299
59	444.701	331.057	214.344	91.2302
59.5	444.701	331.058	214.344	91.2305
60	444.701	331.059	214.345	91.2307
60.5	444.701	331.059	214.345	91.231
61	444.701	331.059	214.346	91.2312
61.5	444.702	331.06	214.346	91.2313
62	444.702	331.06	214.347	91.2315
62.5	444.702	331.061	214.347	91.2317
63	444.702	331.061	214.347	91.2318
63.5	444.702	331.061	214.347	91.2319
64	444.702	331.061	214.348	91.232
64.5	444.702	331.062	214.348	91.2322
65	444.702	331.062	214.348	91.2323
65.5	444.702	331.062	214.348	91.2323
66	444.702	331.062	214.349	91.2324
66.5	444.702	331.062	214.349	91.2325
67	444.703	331.062	214.349	91.2326
67.5	444.703	331.063	214.349	91.2326
68	444.703	331.063	214.349	91.2327
68.5	444.703	331.063	214.349	91.2327
69	444.703	331.063	214.349	91.2328
